codepoint,replacement,status,rule_type,notes_safe
U+F59B,ชื่,VERIFIED,SIMPLE,human-reviewed
U+F59C,,UNMAPPED,SIMPLE,unmapped; human review required
U+F5A5,,UNMAPPED,SIMPLE,unmapped; human review required
U+F5A6,,UNMAPPED,SIMPLE,unmapped; human review required
U+F5A7,,UNMAPPED,SIMPLE,unmapped; human review required
U+F5A8,,UNMAPPED,SIMPLE,unmapped; human review required
U+F5AA,,UNMAPPED,SIMPLE,unmapped; human review required
U+F5AB,,UNMAPPED,SIMPLE,unmapped; human review required
U+F5AC,,UNMAPPED,SIMPLE,unmapped; human review required
U+F5AD,,UNMAPPED,SIMPLE,unmapped; human review required
U+F5AF,พื่,VERIFIED,SIMPLE,human-reviewed
U+F5B0,,UNMAPPED,SIMPLE,unmapped; human review required
U+F5B2,มื่,VERIFIED,SIMPLE,human-reviewed
U+F5B3,,UNMAPPED,SIMPLE,unmapped; human review required
U+F5B4,รื่,VERIFIED,SIMPLE,human-reviewed
U+F5B6,,UNMAPPED,SIMPLE,unmapped; human review required
U+F5BB,,UNMAPPED,SIMPLE,unmapped; human review required
U+F5BE,,UNMAPPED,SIMPLE,unmapped; human review required
U+F5C6,,UNMAPPED,SIMPLE,unmapped; human review required
U+F5C9,,UNMAPPED,SIMPLE,unmapped; human review required
U+F5CA,,UNMAPPED,SIMPLE,unmapped; human review required
U+F5D3,,UNMAPPED,SIMPLE,unmapped; human review required
U+F5D4,,UNMAPPED,SIMPLE,unmapped; human review required
U+F5D8,,UNMAPPED,SIMPLE,unmapped; human review required
U+F5D9,,UNMAPPED,SIMPLE,unmapped; human review required
U+F5DA,,UNMAPPED,SIMPLE,unmapped; human review required
U+F5DD,,UNMAPPED,SIMPLE,unmapped; human review required
U+F5DE,,UNMAPPED,SIMPLE,unmapped; human review required
U+F5E0,,UNMAPPED,SIMPLE,unmapped; human review required
U+F5E1,,UNMAPPED,SIMPLE,unmapped; human review required
U+F5E2,,UNMAPPED,SIMPLE,unmapped; human review required
U+F5E4,,UNMAPPED,SIMPLE,unmapped; human review required
U+F5E9,,UNMAPPED,SIMPLE,unmapped; human review required
U+F5EC,,UNMAPPED,SIMPLE,unmapped; human review required
U+F64B,,UNMAPPED,SIMPLE,unmapped; human review required
U+F650,,UNMAPPED,SIMPLE,unmapped; human review required
U+F653,,UNMAPPED,SIMPLE,unmapped; human review required
U+F654,,UNMAPPED,SIMPLE,unmapped; human review required
U+F660,,UNMAPPED,SIMPLE,unmapped; human review required
U+F662,,UNMAPPED,SIMPLE,unmapped; human review required
U+F666,,UNMAPPED,SIMPLE,unmapped; human review required
U+F667,,UNMAPPED,SIMPLE,unmapped; human review required
U+F668,,UNMAPPED,SIMPLE,unmapped; human review required
U+F66A,,UNMAPPED,SIMPLE,unmapped; human review required
U+F66B,,UNMAPPED,SIMPLE,unmapped; human review required
U+F66C,,UNMAPPED,SIMPLE,unmapped; human review required
U+F66E,,UNMAPPED,SIMPLE,unmapped; human review required
U+F670,,UNMAPPED,SIMPLE,unmapped; human review required
U+F673,,UNMAPPED,SIMPLE,unmapped; human review required
U+F674,,UNMAPPED,SIMPLE,unmapped; human review required
U+F676,,UNMAPPED,SIMPLE,unmapped; human review required
U+F67B,,UNMAPPED,SIMPLE,unmapped; human review required
U+F68C,,UNMAPPED,SIMPLE,unmapped; human review required
U+F69C,,UNMAPPED,SIMPLE,unmapped; human review required
U+F6A2,,UNMAPPED,SIMPLE,unmapped; human review required
U+F6A4,,UNMAPPED,SIMPLE,unmapped; human review required
U+F6B9,,UNMAPPED,SIMPLE,unmapped; human review required
U+F6BA,,UNMAPPED,SIMPLE,unmapped; human review required
U+F6BF,,UNMAPPED,SIMPLE,unmapped; human review required
U+F6D2,,UNMAPPED,SIMPLE,unmapped; human review required
U+F6E8,,UNMAPPED,SIMPLE,unmapped; human review required
U+F719,,UNMAPPED,SIMPLE,unmapped; human review required
U+F731,,UNMAPPED,SIMPLE,unmapped; human review required
U+F733,,UNMAPPED,SIMPLE,unmapped; human review required
U+F737,,UNMAPPED,SIMPLE,unmapped; human review required
U+F739,,UNMAPPED,SIMPLE,unmapped; human review required
U+F74A,,UNMAPPED,SIMPLE,unmapped; human review required
U+F750,,UNMAPPED,SIMPLE,unmapped; human review required
U+F751,ยู่,VERIFIED,SIMPLE,human-reviewed
U+F752,,UNMAPPED,SIMPLE,unmapped; human review required
U+F754,,UNMAPPED,SIMPLE,unmapped; human review required
U+F759,,UNMAPPED,SIMPLE,unmapped; human review required
U+F75E,,UNMAPPED,SIMPLE,unmapped; human review required
U+F779,ผู้,VERIFIED,SIMPLE,human-reviewed
U+F780,รู้,VERIFIED,SIMPLE,human-reviewed
U+F784,,UNMAPPED,SIMPLE,unmapped; human review required
U+F787,สู้,VERIFIED,SIMPLE,human-reviewed
U+F78A,,UNMAPPED,SIMPLE,unmapped; human review required
U+F7AE,,UNMAPPED,SIMPLE,unmapped; human review required
U+F7EB,,UNMAPPED,SIMPLE,unmapped; human review required
U+F7F0,,UNMAPPED,SIMPLE,unmapped; human review required
U+F7F1,,UNMAPPED,SIMPLE,unmapped; human review required
U+F7FB,,UNMAPPED,SIMPLE,unmapped; human review required
U+F7FC,,UNMAPPED,SIMPLE,unmapped; human review required
U+F800,,UNMAPPED,SIMPLE,unmapped; human review required
U+F808,,UNMAPPED,SIMPLE,unmapped; human review required
U+F809,,UNMAPPED,SIMPLE,unmapped; human review required
U+F80A,,UNMAPPED,SIMPLE,unmapped; human review required
U+F80E,,UNMAPPED,SIMPLE,unmapped; human review required
U+F819,,UNMAPPED,SIMPLE,unmapped; human review required
U+F81F,,UNMAPPED,SIMPLE,unmapped; human review required
U+F820,,UNMAPPED,SIMPLE,unmapped; human review required
U+F82B,,UNMAPPED,SIMPLE,unmapped; human review required
U+F82E,,UNMAPPED,SIMPLE,unmapped; human review required
U+F837,,UNMAPPED,SIMPLE,unmapped; human review required
U+F83A,,UNMAPPED,SIMPLE,unmapped; human review required
