codepoint,replacement,status,rule_type,notes_safe
U+F09D,,UNMAPPED,SIMPLE,unmapped; human review required
U+F09E,,UNMAPPED,SIMPLE,unmapped; human review required
U+F09F,ถึ,VERIFIED,SIMPLE,human-reviewed
U+F0A0,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0A2,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0A4,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0A6,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0A7,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0AA,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0AB,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0AC,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0AE,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0B1,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0B3,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0B4,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0B6,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0B7,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0B8,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0B9,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0BB,คื,VERIFIED,SIMPLE,human-reviewed
U+F0BE,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0BF,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0C1,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0CB,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0CC,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0CD,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0CE,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0D0,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0D1,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0D2,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0D3,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0D4,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0D5,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0D6,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0D8,มื,VERIFIED,SIMPLE,human-reviewed
U+F0D9,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0DA,รื,VERIFIED,SIMPLE,human-reviewed
U+F0DC,ลื,VERIFIED,SIMPLE,human-reviewed
U+F0E1,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0E2,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0E4,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0E5,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0E6,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0E7,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0E9,คุ,VERIFIED,SIMPLE,human-reviewed
U+F0EC,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0ED,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0EE,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0EF,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0F0,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0F9,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0FA,ตุ,VERIFIED,SIMPLE,human-reviewed
U+F0FB,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0FC,ทุ,VERIFIED,SIMPLE,human-reviewed
U+F0FD,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0FE,,UNMAPPED,SIMPLE,unmapped; human review required
U+F0FF,,UNMAPPED,SIMPLE,unmapped; human review required
U+F100,,UNMAPPED,SIMPLE,unmapped; human review required
U+F101,,UNMAPPED,SIMPLE,unmapped; human review required
U+F103,,UNMAPPED,SIMPLE,unmapped; human review required
U+F104,,UNMAPPED,SIMPLE,unmapped; human review required
U+F106,,UNMAPPED,SIMPLE,unmapped; human review required
U+F107,ยุ,VERIFIED,SIMPLE,human-reviewed
U+F108,,UNMAPPED,SIMPLE,unmapped; human review required
U+F10A,,UNMAPPED,SIMPLE,unmapped; human review required
U+F10C,,UNMAPPED,SIMPLE,unmapped; human review required
U+F10D,,UNMAPPED,SIMPLE,unmapped; human review required
U+F10F,สุ,VERIFIED,SIMPLE,human-reviewed
U+F110,,UNMAPPED,SIMPLE,unmapped; human review required
U+F112,,UNMAPPED,SIMPLE,unmapped; human review required
U+F113,,UNMAPPED,SIMPLE,unmapped; human review required
U+F114,กู,VERIFIED,SIMPLE,human-reviewed
U+F115,,UNMAPPED,SIMPLE,unmapped; human review required
U+F117,,UNMAPPED,SIMPLE,unmapped; human review required
U+F11B,,UNMAPPED,SIMPLE,unmapped; human review required
U+F11D,,UNMAPPED,SIMPLE,unmapped; human review required
U+F120,,UNMAPPED,SIMPLE,unmapped; human review required
U+F126,,UNMAPPED,SIMPLE,unmapped; human review required
U+F127,ดู,VERIFIED,SIMPLE,human-reviewed
U+F128,,UNMAPPED,SIMPLE,unmapped; human review required
U+F129,ถู,VERIFIED,SIMPLE,human-reviewed
U+F12A,,UNMAPPED,SIMPLE,unmapped; human review required
U+F12C,,UNMAPPED,SIMPLE,unmapped; human review required
U+F12D,,UNMAPPED,SIMPLE,unmapped; human review required
U+F12E,,UNMAPPED,SIMPLE,unmapped; human review required
U+F12F,,UNMAPPED,SIMPLE,unmapped; human review required
U+F130,,UNMAPPED,SIMPLE,unmapped; human review required
U+F131,พู,VERIFIED,SIMPLE,human-reviewed
U+F132,,UNMAPPED,SIMPLE,unmapped; human review required
U+F133,,UNMAPPED,SIMPLE,unmapped; human review required
U+F134,,UNMAPPED,SIMPLE,unmapped; human review required
U+F135,,UNMAPPED,SIMPLE,unmapped; human review required
U+F136,รู,VERIFIED,SIMPLE,human-reviewed
U+F138,,UNMAPPED,SIMPLE,unmapped; human review required
U+F13A,วู,VERIFIED,SIMPLE,human-reviewed
U+F13B,,UNMAPPED,SIMPLE,unmapped; human review required
U+F13D,,UNMAPPED,SIMPLE,unmapped; human review required
U+F13E,,UNMAPPED,SIMPLE,unmapped; human review required
U+F140,,UNMAPPED,SIMPLE,unmapped; human review required
U+F142,ก็,VERIFIED,SIMPLE,human-reviewed
U+F143,,UNMAPPED,SIMPLE,unmapped; human review required
U+F145,,UNMAPPED,SIMPLE,unmapped; human review required
U+F149,,UNMAPPED,SIMPLE,unmapped; human review required
U+F14B,,UNMAPPED,SIMPLE,unmapped; human review required
U+F14C,,UNMAPPED,SIMPLE,unmapped; human review required
U+F155,,UNMAPPED,SIMPLE,unmapped; human review required
